RCP_SNO,CKG_NM,CKG_NM_KO,RGTR_ID,RGTR_NM,INQ_CNT,RCMM_CNT,SRAP_CNT,CKG_MTH_ACTO_NM,CKG_STA_ACTO_NM,CKG_MTRL_ACTO_NM,CKG_KND_ACTO_NM,CKG_IPDC,CKG_MTRL_CN,CKG_INBUN_NM,CKG_DODF_NM,CKG_TIME_NM,FIRST_REG_DT,Y_ID
6881454,Mapa Tofu,마파두부,kiss6668,마이쏭,679470,11,33412,Boiling,Daily,Meat,etc,hello~? It's my 쏭! Today we are going to make Mapa Tofu that My 쏭 is your favorite! My 쏭 is only the ingredients at home! I cook with recipes that I can make. Today too! I don't need to do it! The ingredients in the refrigerator! I will tell you how to make a mapo tofu ~,[Materials] Tofu 2 Mo | 1 Pork Meat Meat | Plenty of chopped waves | Minced onion [seasoning] 2 tablespoons of chopped garlic | 5 tablespoons of red pepper powder | 4 tablespoons soy sauce | 1 tablespoon of sugar | Oyster sauce 1 tablespoon | Salt Talk Talk | 1 tablespoon of miso | Starch | Chicken Stock (anchovy water) a little | 2 cups of water | Pepper,Over 4 servings,Beginner,within 30m,20171228,qlr4GU7AqxY
6857927,Bomber,폭탄달걀찜,sunwly,각설탕식구들,657238,574,4708,etc,etc,etc,etc,"Bomb egg steamed ~ Today, I made a so -called bomb steamed that it was swollen like a bomb. I usually make it often. I've been uploading it for a long time. Next time, I'll show you a really rounded suit without a mid -time ^^? It's nice to see the eggs steamed, but it's so delicious.",[Materials] 4 eggs | Salt a little | 1 tablespoon of sake | 1 cup of water | A little chopped wave,4 servings,Anyone,within 15m,20161005,W5j_feDwvOc
6867849,Principal,진미채볶음,20618485,조밍키,651510,99,35855,Stir-fry,Daily,etc,Side dish,Let's make a soft delicacy stir -fry without hard ~,[Materials] Delicacy 180g [Seasoned] Mayonnaise 2T | Gochujang 2T | 1T of red pepper powder | Soy Soy 1.5T | 1/2T chopped garlic | 1T sesame oil | 1T sugar | Oligosan 1.5T | Sesame salt 0.5t,Over 4 servings,middle-level,within 15m,20170403,gaIlS0sLcbI
6838943,Squid,오징어볶음,junhh1023,고래언니,649898,367,6611,Stir-fry,etc,etc,etc,I was proud of the squid stir -fry .. I did it with the recipe for the Baekjongwon.,[Materials] 2 squid | Leek 1 Root | 1 onion | Cabbage moderately | Carrots (Omitted) [Seasoned] Sugar 1T | 1T chopped garlic | Gochujang 1T | 3T pepper powder | Soy 5T | 1T sesame oil,2 servings,middle-level,within 30m,20151201,L8Y_vqv_ix8
6860481,Marbled stir -fry,차돌박이숙주볶음,gdubu33,만개의레시피,649057,2021,22792,Stir-fry,etc,Meat,etc,A crispy host on the savory marbled beans! You can make it in front of the alcohol and you can make it without thirsty.,[Essential Materials] 300g of marbled leaf | Border 200g | Songsong Sun Pavilion 2T [Seasoned Materials] Soy Soy 2T | Oyster sauce 1T | 1T of red pepper oil | 1T chopped garlic | 1T sugar | A little pepper | 1T sesame oil,2 servings,Anyone,within 30m,20161111,oXAd3ZkJCVo
6852279,How to boil eggs,계란삶는법,jun8707,시크제이맘,648209,7,267,etc,Daily,etc,etc,How to boil the yolk moisturized eggs,[Materials] 5 eggs | Salt | vinegar,4 servings,Anyone,within 30m,20160706,sbUx6O7z_gc
6896908,Bibim noodles,비빔국수,lasprass,ㄴ딸기바람,647936,6,35083,etc,Daily,etc,etc,"Today, I have made a bibim noodle that has already been rubbed with the left hand and no need to rub with the right hand ^^",[Materials] Noodles 2 servings | 2 ~ 3 sesame leaves | Fresh radish kimchi (if there) The right amount [seasoning material] red pepper paste 2T | 2T red pepper powder | Vinegar 4T | 3T sugar | 1T chopped garlic | 2T soy sauce | Wasabi 1T | Sesame oil 1.5T | A little minced pepper | Sesame,2 servings,Anyone,within 30m,20181001,sVVBjEwq3Rc
6900758,Pork back ribs steamed,돼지등갈비찜,nayajin0924,요리하는아내,647323,2,29609,etc,etc,Meat,etc,"Even if you put it on the guest award, I will show you how to make a pork back ribs to be praised even if you put it on the dinner.",[Materials] 600g of back ribs | Laurel Leaves a little | A little pepper [sauce] 350ml of water | Sugar 2TS | Soy Soy 4TS | Plum liquid 1TS | Steel syrup 2TS | 2TS | Sesame Oil 1TS | Multinated Garlic 2TS | 5 garlic,3 servings,Beginner,within 1h,20181125,sQ4BVnVfw80
6867157,Bibim noodles,비빔국수,20618485,조밍키,639206,137,31644,etc,etc,etc,etc,"You say you want to eat this suddenly. . ;; Instead of wheat noodles, I was bibim noodles and cleared in 5 minutes. . ;;; Let's make sweet and sour bibim noodles ~",[Materials] 1 Zoom | 1/4 onions | Cucumber 1/4 | 2 sesame leaves | Garlic Page 2 [Seasoning] Soy Soy 1T | Gochujang 1T | 1T of red pepper powder | 1/2T sugar | Vinegar 1T | Plum Extract 1T | Oligosaccharide 1T | 1T sesame oil,1 servings,Anyone,within 10m,20170321,sVVBjEwq3Rc
6859194,Red pepper paste,고추장아찌,dksmf2626,꽃청춘이주부,633801,965,7566,etc,Daily,Vegetables,Side dish,"I went to my house last weekend ~ Every year, I harvested red peppers at my house every year, but I visited last week, but the pepper harvest is over, but the peppers are still open. I wanted to pick up the pickles, so I got a cold sokuri.",[Materials] Pepper | Soy sauce | Sugar | Vinegar | water,Over 4 servings,Anyone,within 15m,20161026,n3HHpW4UHm4
6838020,Quail,메추리알장조림,stylet3t,혁이어뭉,633550,470,10396,etc,Daily,etc,Side dish,"Hyoja side dishes that are always made for husbands who are loving ~ !! Even if you have this one, it's a rice poker ^^",[Materials] 1kg of Kanme Churi Egg | 3 cups of Cheongyang pepper [seasoning] 1 cup of soy sauce | 3 cups of water | 1/4 cup of plum (omitted) | 4 spoons of sugar | 1 tablespoon of chopped garlic (all possible garlic),3 servings,Anyone,within 30m,20151112,RmZyxKOUbfs
5939175,Heat radish kimchi,열무물김치,bibary,비바리,631566,23,2267,etc,Daily,Vegetables,etc,How to do delicious heat radish kimchi ~,[Materials] 2 Dan 2 Dan | Earlier Cabbage 1st Dan | 250g | One cup of 1 cup of sea salt (for picking) 1 cup of flour | 8 cups of water [broth material] 2L of bottled water | 7 red peppers | Garlic 10 | Ginger (selection) appropriate amount [seasoning] Hamcho salt (for broth) 3 tablespoons,Over 4 servings,middle-level,within 1h,20140508,6rWWsVYMois
6871104,Kimchi,김치찜,20618485,조밍키♥,630878,178,34512,etc,Speedy,Vegetables,etc,"If you tear kimchi and eat it on a hot rice just, you don't need to talk ~! The more it boils, the more it tastes, but it takes a long time, and it's not easy to stay in front of the hot summer fire.",[Materials] Kimchi 1/4 Abandonment | Pork 200g | Leek 1/2 Stem [Seasoning] Sesame Oil 2T | 1T sugar | Taste 3T,2 servings,Anyone,within 30m,20170612,RVfSeUZ8XkY
6891591,Narcotics,마약계란장,jhj762,현디니네,629537,7,29327,etc,etc,etc,etc,If you mix it with half -boiled eggs and soy sauce! Perfect! Make a drug like a drug!,[Materials] 9 eggs | Vinegar 1T | Salt 1T [Seasoning] Soy Soy 1.5 Cup | 1.5 cups of sugar | 1.5 cups | 1T chopped garlic | 1 onion | Moderately | A little sesame | 1T sesame oil,Over 4 servings,Beginner,within 15m,20180627,C17Di8lWUTk
6870256,Cucumber,오이무침,dksmf2626,꽃청춘이주부,619734,112,2747,etc,Daily,Vegetables,Side dish,"From April to July, the cucumbers are cheaper these days, so I have a lot of cucumbers.",[Materials] 2 cucumbers | 1/2 onions | 1 tablespoon of coarse salt [seasoning ingredients] 2 spoons of red pepper powder | 1 tablespoon of sugar | 1 tablespoon of plums | 2 tablespoons of soy sauce | 1/2 spoon of chopped garlic | 2 tablespoons of vinegar | 1 tablespoon,2 servings,Anyone,within 15m,20170524,ETXAGw5hMjI
4007561,Potato,감자채볶음,dollshouse,돌하우스,617822,288,29046,Stir-fry,Daily,Vegetables,Side dish,Stir -fried potatoes. Simply make it.,[Materials] 2 Potatoes (Middle) | 1 onion (medium) | A little carrot | A little canolai oil | Slightly sesame [seasoning] Salt a little,2 servings,Beginner,within 15m,20120731,LTcCF262210
6868573,Radish kimchi,깍두기,jh2y3,팬이맘,617028,95,19221,etc,Daily,Vegetables,etc,"How to soak it deliciously !! Crispy taste healthy taste! It's so good to have a red kakdugi. Nowadays, there's nothing wrong with or dry about how well the radish is saved. Soak the moist moisture with a good mujak! I cooked it for two days and put it in the fridge, but the smell of sour kakeda made my appetite.",[Kakdugi Materials] 2 No | Thousand salt 3.5 tablespoons [Full] 2 tablespoons of flour | Water 200ml [Seasoning] 7 tablespoons of red pepper powder | 3 tablespoons plums | Apple 1/2 | Live 5 Root | 1/2 onions | Ginger 0.5 tablespoons | 3 tablespoons of garlic | Canary 2 tablespoons | 1 tablespoon of shrimp | 1 tablespoon of salt,Over 4 servings,Anyone,Over 1h,20170417,sRQxVQ5-NNA
6870562,Garlic,마늘쫑고추장무침,minimini0107,뽕림이,616639,139,29751,etc,Speedy,Vegetables,Side dish,"These days, I just ate only the side dishes that I always want to reduce the cost of food, and I wanted to eat a new side dish. So after a long time, I made a sweet and sweet rice thief garlic. It is a side dish that is completed simply by simply putting garlic in boiling water and adding seasonings. :)",[Material] 1 bundle of garlic (about 160g) [seasoning] 2 tablespoons of red pepper powder | 1/2 tablespoons of chopped garlic | 1 tablespoon of sugar | 1 tablespoon of soy sauce | 1 tablespoon of oligosaccharide | 3 tablespoons of red pepper paste | 3 tablespoons plums | Salt 1 pinch | Sesame or sesame salt appropriate amount,4 servings,Anyone,within 10m,20170531,c3J7z8rt-dA
6872490,kimchi soup,김치찌개,minimini0107,뽕림이,610592,32,21624,Boiling,Daily,Vegetables,Stew,Let's start making a 7 -minute kimchi stew of Saemaul Restaurant with no rice thief. (Note that it takes about 20 minutes because it's only 7 minutes of kimchi stew ^^),[Materials] 1/4 abandonment of old paper (about three cups of paper cups) | 150g of pork (about one cup of paper cups) | 4 cups of rice water | Doenjang 0.5 tablespoons | 1 Cheongyang pepper (to taste) | 1 tablespoon of chopped garlic | 2 tablespoons of red pepper powder | Appropriate amount of leek | 1 tablespoon of soy sauce | 1 tablespoon,4 servings,Beginner,within 30m,20170710,qWbHSOplcvY
3686217,kimchi soup,김치찌개,kdlym,윤,610034,312,22344,Boiling,Daily,Vegetables,Stew,"Today, I'm going to introduce you to how to boil the delicious kimchi stew. Let me tell you how to get a big restaurant kimchi stew!",[Materials] Kimchi 1/2 abandonment | 1 tablespoon of grape seeds | Kakdu Ki -ki 1/3 Cup | Leek | Tofu | Water (anchovy broth) | 1 can of tuna [seasoning] sugar | Red pepper powder | 1 tablespoon of chopped garlic | Anchovy,2 servings,Anyone,within 1h,20120510,qWbHSOplcvY
6870905,Tteokmandu soup,떡만두국,hyuna9595,먹순,604235,14,17639,Boiling,Daily,etc,Soup,"When the rice cake and dumplings meet with rich broth, they make a fantasy combination.",[Materials] 2 Zoom | 5 dumplings | 1/6 carrots | 1/2 onions | 1/4 zucchini | 1 egg | 1 leek [broth] 10 anchovies | 2 kelp [Soup] Soy Soy sauce 2T | Salt 1T | 1/2T pepper | 1/2T sesame oil,1 servings,Anyone,within 10m,20170608,At-u3lwsFtk
6882325,tteokbokki,떡볶이,45708244,신블리mom,597414,7,31492,Stir-fry,Snack,etc,etc,The fact that the seasoning ratio is the tteokbokki tastes at a snack house !!!!!,[Materials] Milk Tteok (any rice cake) 2 ~ 3 cups (paper cups) | 1/2 leek | Fish Cake 2 [Seasoning] Sugar 3T | Red pepper powder 2.5t | Gochujang 2.5T | 1T oscillation | Pepper Talk | Silver Talk | 2T bottled water,3 servings,Anyone,within 15m,20180115,t4Es8mwdYlE
6872694,Microwave,전자렌지계란찜,80943821,엘린84,594098,37,14434,etc,Speedy,etc,Side dish,Easy dish made with microwave oven !! Steamed egg ~! Make it with a microwave when you don't have time :) http://blog.naver.com/qw3859,[Materials] 2 eggs | 1/2 cup | Salt a little | Vegetable taste,2 servings,Anyone,within 10m,20170713,q6hGmqne2ow
6869868,Japchae,잡채,hyuna9595,먹순,592094,280,4813,Stir-fry,etc,etc,etc,"I take over the secrets that my mom makes the best, and now I make a japchae. Making a japchae with a taste of hometown!",[Materials] 1 bag | 2 onions | 1 carrot | Spinach 1 Bundle | 6 shiitake mushrooms | Pork (sirloin for japte) 200g [seasoning sauce] Soy sauce 3T | 1/2T sugar | Sesame oil 3T | Oligosaccharide 1/2T | 1/2T pepper | 1T chopped garlic | Sesame 1T [Meat Under] Soy Soy 2T | 1/2T sugar | 1/2T sesame oil | 1/2T chopped garlic | 1/2T pepper,3 servings,Beginner,within 30m,20170516,DNj3YiaP42s
6830356,Ribs,골뱅이무침,se6323321,스라마미,582020,334,27307,etc,etc,etc,etc,"The ribs that come to mind when they are spicy. Look at the red status ~ shine is shaking ~ It's good for side dishes, and it's good to eat and snack.",[Materials] Golbang | 1 leek | 1/2 onions | Cucumber | Carrot | Paprika [Seasoning] 4 tablespoons of red pepper powder | 2 tablespoons of red pepper paste | 1 tablespoon of soy sauce | 2 spoons of plums | 1 tablespoon of Hwangsultang | 2 tablespoons of vinegar | 1 tablespoon of garlic | 1 tablespoon of oligosaccharides | 1 tablespoon of sesame oil,2 servings,Beginner,within 30m,20150718,Lz0tPtrMQmQ
6840689,Beef seaweed soup,소고기미역국,83009604,씨제이s,577993,158,1385,Boiling,Daily,Meat,Soup,"Today is a birthday, so I boiled seaweed soup. Self congratulations ㅋ ㅋㅋㅋ I used to see it through Baekjongwon seaweed soup in My Television.",[Materials] Seaweed 10g | Beef Yangji 150g [Seasoning] 1 tablespoon of sesame oil | 2 tablespoons of soy sauce | Garlic 0.5 tablespoons | Flower salt a little,2 servings,Beginner,within 1h,20151224,xsTFsunt6-8
6830294,Mapo Tofu Rice,마파두부덮밥,semi2030,세미짱,575959,250,5978,Boiling,Daily,etc,etc,"It was better to taste better than the mapo tofu made of Duban Place before Baekjongwon Mapa Tofu, which was flavored with miso red pepper paste in Korean style. I think it's because it's easy to make it easy to make it easier to get as a material that can be easily obtained.",[Materials] Tofu 1 | 1 cup of pork flesh | 1 onion | 1 leek [seasoning] red pepper powder 3T | Miso 1T | Gochujang 0.5T | Multinated garlic 2T | 1/4 cup of soy sauce | 2 cups of water | Starch 3T | 1T sesame oil,3 servings,Beginner,within 30m,20150716,9cZdjyZjXT8
4090621,Nephew,무생채,dollshouse,돌하우스,575426,165,26099,etc,Daily,Vegetables,Side dish,Sweet and sour side dishes that make use of your taste! Introducing the extraordinary Vegetables ~,[Materials] 1/2 of nothing (large) | 2 tablespoons of Songbong sleds [seasoning] 1/2 spoon of chopped garlic | 2 pieces 1+1/2 tablespoons | 1/2 spoon of sesame oil | 1+1/2 spoon of sugar | 2 tablespoons of red pepper powder | Salt 1/2 Spoon | Sesame,2 servings,Beginner,within 15m,20120827,dXN1dlsYdJI
6865385,Kimchi Fried Rice,김치볶음밥,bboeonni12,뽀새댁,562303,23,890,Stir-fry,Speedy,Rice,etc,"After work, I ate a meal with a meal of Kimchi fried rice with a meal. I ate one meal and deliciously.",[Materials] Full of Kimchi 1 Bowl | Bacon 3 | 1 leek | 2 eggs | Cooking oil or olive oil a little | 1 tablespoon,2 servings,Anyone,within 10m,20170216,eIo2BaE6LxI
4579916,Tuna tofu stew,참치두부조림,guswls73,예예,560972,178,33490,etc,Daily,etc,Side dish,Introducing the rice thief side dish made of tuna can and tofu.,[Materials] Tofu 1 | 1 can of tuna can (150g) | Cabbage Kimchi 2/3 Cup | 1/2 onions | 1/2 leeks | Sesame oil | Sesame [seasoning] 1 spoonful of chopped garlic | 1/2 spoon of sugar | 1 spoon of red pepper powder | 2 spoons of soy sauce | 2 spoons of ginger | 2 spoons of red pepper paste | 1 cup of water | Pepper,3 servings,Beginner,within 30m,20130217,moA4LHCJ2Jc
6871892,Yukgaejang,육개장,80943821,엘린84,559092,46,11939,Boiling,Daily,Meat,Soup,"It's not an authentic Yukgaejang, but it's easy to boil and it's as delicious as an authentic yukgaejang :) http://blog.naver.com/qw3859",[Materials] Beef | Fern | Leek | Beans | Shiitake Mushroom [Seasoning] 2 tablespoons of cooking oil | 4 tablespoons of sesame oil | 3 tablespoons red pepper powder | 1 tablespoon of chopped garlic | 2 tablespoons of soy sauce | Slightly,4 servings,Beginner,within 30m,20170628,jN_inaLf9Zo
6499643,Cheonggukjang -jjigae,청국장찌개,blingbarbie,책읽어주는영어신동,557930,143,3373,Boiling,Daily,etc,Stew,Sweet rice thief Cheonggukjang -jjigae,[Materials] 600ml of rice water | Cheonggukjang 1 mass | 1 cup of new kimchi [seasoning] 1 tablespoon of red pepper powder | 1 tablespoon of chopped garlic | Tofu 1/2 Mo | 1 Cheongyang Pepper | A little onion | Leek,Over 4 servings,Beginner,within 1h,20150116,wezbeu4-C2s
6832994,Squid,오징어볶음,scalp119,츄츄맘,557903,41,1837,Stir-fry,Daily,etc,etc,Baekjongwon Pyo Squid Stir -fried.,[Materials] 2 squid | Was 1 Zoom | 1 onion | Cooking oil 3 tablespoons [seasoning] 1 tablespoon of sugar | 3 tablespoons red pepper powder | 5 tablespoons soy sauce | 1 tablespoon of chopped garlic | 1/2 cup | 1 tablespoon of red pepper paste | Sesame,2 servings,middle-level,within 30m,20150828,L8Y_vqv_ix8
6878686,Pork ribs,돼지갈비찜,jun8707,시크제이맘,557312,6,7145,etc,Daily,Meat,etc,How to make pork ribs steamed.,[Materials] Pork Ribs 2 root | 2 mushrooms | 1/2 onions | 1/6 of nothing | 2 peppers | 2 red peppers | 1/3 carrots | 1 leek [seasoning material] Soy sauce 2 soju cups | Water 2 Soju Cup | Taste 1 Soju Cup | Sugar 1 soju cup | Liver garlic 1/2 soju cup | Ground Ginger 0.5 | Sesame oil 1/3 soju cup,4 servings,Anyone,within 1h,20171027,_IksR2KQsFw
6872492,Burdock,우엉조림,80943821,엘린84,556297,14,4171,etc,Daily,Vegetables,Side dish,It's a good side dish to eat when you make gimbap and eat one or two! Burdock stew !! It's really delicious if you boil it with soy sauce ^^ http://blog.naver.com/qw3859,[Materials] Burdock 2 Root | 1 tablespoon of vinegar [seasoning] 2 cups of water | 5 tablespoons soy sauce | 3 tablespoons sugar | 1 tablespoon of water syrup | 1 tablespoon of sesame oil | Sesame,4 servings,middle-level,within 1h,20170710,hp5DDGiWvQQ
6885373,Soy sauce,간장두부조림,80943821,엘린84,555851,7,28734,etc,Daily,etc,Side dish,Soyt tofu stew that is simply made and eaten :),[Materials] Tofu 1 | 1 leek | Cooking oil a little [seasoning] 4 tablespoons of soy sauce | 2 tablespoons of water | Mirim 1 tablespoon | 1 tablespoon of chopped garlic | Sugar 1+1/2 Tbsp | 1 tablespoon of sesame oil | A little pepper | A little sesame | Slightly,2 servings,Anyone,within 15m,20180313,sjtckXB2yH0
6830286,Chicken ribs,닭갈비양념장,0807twins,배고픈엄마,553963,132,2940,etc,Daily,etc,etc,"The steak, which is used as a chicken, was passed due to the lack of technology to apply the bone.",[Materials] 900g of trimmed chickens | Cabbage 1/4 | 1/2 onions | 1 leek | 5 sesame leaves | 1 potato | 2 peppers of Cheongyang pepper [seasoning] 1/2 cup of soy sauce | Gochujang 1/2 cup | 1/2 cup sugar | Cheongju 1/2 Cup | 1/2 cup of chopped garlic | 1/2 cup red pepper powder | 1 teaspoon of pepper | 1 tablespoon of sesame oil,2 servings,Beginner,within 30m,20150715,YuSBnZi89MM